Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-02-23 00:00:00+00:00,67616.5390625,67616.5390625,67616.5390625,67616.5390625,0
2026-02-23 00:01:00+00:00,67633.90625,67633.90625,67633.90625,67633.90625,75843584
2026-02-23 00:03:00+00:00,67611.8515625,67611.8515625,67611.8515625,67611.8515625,0
2026-02-23 00:06:00+00:00,67583.8203125,67583.8203125,67583.8203125,67583.8203125,0
2026-02-23 00:07:00+00:00,67567.953125,67567.953125,67567.953125,67567.953125,0
2026-02-23 00:08:00+00:00,67589.0078125,67589.0078125,67589.0078125,67589.0078125,0
2026-02-23 00:10:00+00:00,67621.171875,67621.171875,67621.171875,67621.171875,10338304
2026-02-23 00:12:00+00:00,67585.828125,67585.828125,67585.828125,67585.828125,0
2026-02-23 00:13:00+00:00,67584.2578125,67584.2578125,67584.2578125,67584.2578125,41291776
2026-02-23 00:15:00+00:00,67600.8984375,67600.8984375,67600.8984375,67600.8984375,0
2026-02-23 00:17:00+00:00,67566.25,67566.25,67566.25,67566.25,16345088
2026-02-23 00:18:00+00:00,67587.8984375,67587.8984375,67587.8984375,67587.8984375,0
2026-02-23 00:20:00+00:00,67538.6015625,67538.6015625,67538.6015625,67538.6015625,9410560
2026-02-23 00:21:00+00:00,67507.9453125,67507.9453125,67507.9453125,67507.9453125,0
2026-02-23 00:22:00+00:00,67472.828125,67472.828125,67472.828125,67472.828125,0
2026-02-23 00:23:00+00:00,67471.78125,67471.78125,67471.78125,67471.78125,0
2026-02-23 00:24:00+00:00,67450.8203125,67450.8203125,67450.8203125,67450.8203125,0
2026-02-23 00:26:00+00:00,67437.8984375,67437.8984375,67437.8984375,67437.8984375,0
2026-02-23 00:27:00+00:00,67391.046875,67391.046875,67391.046875,67391.046875,5109760
2026-02-23 00:28:00+00:00,67421.0390625,67421.0390625,67421.0390625,67421.0390625,0
2026-02-23 00:31:00+00:00,67422.0,67422.0,67422.0,67422.0,0
2026-02-23 00:33:00+00:00,67358.9375,67358.9375,67358.9375,67358.9375,82020352
2026-02-23 00:36:00+00:00,67302.5703125,67302.5703125,67302.5703125,67302.5703125,195622912
2026-02-23 00:38:00+00:00,67269.75,67269.75,67269.75,67269.75,0
2026-02-23 00:39:00+00:00,67220.34375,67220.34375,67220.34375,67220.34375,2084864
2026-02-23 00:40:00+00:00,67192.8671875,67192.8671875,67192.8671875,67192.8671875,44728320
2026-02-23 00:42:00+00:00,67228.328125,67228.328125,67228.328125,67228.328125,7608320
